formula,AIC,BIC
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id),-127.940805,-104.492308
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + sensations + (1|participant_id) + (1|participant_id:TMS_Type),80.670143,104.118641
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + sensations + (1|problem_id) + (1|problem_id:TMS_Type),104.568404,128.016902
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-128.655786,-101.299205
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-125.940805,-98.584225
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-126.655786,-95.391122
sqrt(keypress_rate..keypresses.per.second.) ~ session + pain + (1|participant_id),80.231989,99.772403
sqrt(keypress_rate..keypresses.per.second.) ~ session + pain + (1|problem_id),99.290520,118.830935
sqrt(keypress_rate..keypresses.per.second.) ~ session + pain + (1|participant_id) + (1|problem_id),-132.572262,-109.123765
sqrt(keypress_rate..keypresses.per.second.) ~ session + physical_symptoms + (1|participant_id),80.438037,99.978452
sqrt(keypress_rate..keypresses.per.second.) ~ session + physical_symptoms + (1|problem_id),98.552200,118.092615
sqrt(keypress_rate..keypresses.per.second.) ~ session + physical_symptoms + (1|participant_id) + (1|problem_id),-132.222446,-108.773949
sqrt(keypress_rate..keypresses.per.second.) ~ session + discomfort + (1|participant_id),80.022687,99.563102
sqrt(keypress_rate..keypresses.per.second.) ~ session + discomfort + (1|problem_id),99.541742,119.082157
sqrt(keypress_rate..keypresses.per.second.) ~ session + discomfort + (1|participant_id) + (1|problem_id),-132.221001,-108.772504
sqrt(keypress_rate..keypresses.per.second.) ~ session + sensations + (1|participant_id),78.282408,97.822822
sqrt(keypress_rate..keypresses.per.second.) ~ session + sensations + (1|problem_id),99.602130,119.142545
sqrt(keypress_rate..keypresses.per.second.) ~ session + sensations + (1|participant_id) + (1|problem_id),-133.810724,-110.362226
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + pain + (1|participant_id),78.652495,98.192910
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + pain + (1|problem_id),100.694106,120.234520
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + pain + (1|participant_id) + (1|problem_id),-129.990363,-106.541866
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + physical_symptoms + (1|participant_id),78.924020,98.464435
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + physical_symptoms + (1|problem_id),99.719776,119.260191
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + physical_symptoms + (1|participant_id) + (1|problem_id),-129.397291,-105.948793
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + discomfort + (1|participant_id),78.315981,97.856396
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + discomfort + (1|problem_id),100.981932,120.522347
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + discomfort + (1|participant_id) + (1|problem_id),-129.619309,-106.170811
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + sensations + (1|participant_id),76.296929,95.837343
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + sensations + (1|problem_id),100.872868,120.413283
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + sensations + (1|participant_id) + (1|problem_id),-132.759990,-109.311493
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + pain + (1|participant_id),79.065675,98.606089
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + pain + (1|problem_id),99.011726,118.552141
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + pain + (1|participant_id) + (1|problem_id),-131.189847,-107.741349
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + physical_symptoms + (1|participant_id),79.265445,98.805860
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + physical_symptoms + (1|problem_id),98.050718,117.591133
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + physical_symptoms + (1|participant_id) + (1|problem_id),-130.711641,-107.263143
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + discomfort + (1|participant_id),78.615142,98.155557
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + discomfort + (1|problem_id),99.408686,118.949100
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + discomfort + (1|participant_id) + (1|problem_id),-131.034400,-107.585902
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + sensations + (1|participant_id),76.390275,95.930690
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + sensations + (1|problem_id),99.244617,118.785031
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + sensations + (1|participant_id) + (1|problem_id),-134.419196,-110.970699
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + pain + (1|participant_id),79.674041,99.214456
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + pain + (1|problem_id),87.294104,106.834519
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + pain + (1|participant_id) + (1|problem_id),-124.492418,-101.043920
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + physical_symptoms + (1|participant_id),79.606519,99.146934
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + physical_symptoms + (1|problem_id),86.691074,106.231488
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + physical_symptoms + (1|participant_id) + (1|problem_id),-124.128208,-100.679710
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + discomfort + (1|participant_id),79.627508,99.167922
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + discomfort + (1|problem_id),87.626381,107.166795
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + discomfort + (1|participant_id) + (1|problem_id),-124.264059,-100.815561
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + sensations + (1|participant_id),78.289119,97.829534
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + sensations + (1|problem_id),87.908822,107.449237
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + sensations + (1|participant_id) + (1|problem_id),-127.445244,-103.996746
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id),82.410849,129.307844
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|problem_id),86.851635,133.748631
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id),-138.113180,-87.308102
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|participant_id:TMS_Type),84.410849,135.215927
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|problem_id) + (1|problem_id:TMS_Type),88.737218,139.542296
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-136.254711,-81.541550
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-136.113179,-81.400018
